,City,City_id,Cloudiness,Country,Humidity,Latitude,Temparature (Celsius),Windspeed
101,Vsevolozhsk,471101,0,RU,84,60.02,258.15,1.0
102,Obala,2223293,20,CM,88,4.17,296.15,2.08
103,Saint-Cyr-sur-Loire,2980935,0,FR,80,47.4,277.15,5.7
104,Frechen,2925259,0,DE,38,50.92,270.48,5.1
105,Pollachi,1259440,8,IN,57,10.67,298.15,1.5
106,Chapala,4014553,5,MX,27,20.3,299.15,2.1
107,Morki,525262,48,RU,69,56.43,256.528,3.03
108,Elefsina,262752,40,GR,71,38.03,284.06,2.1
109,Kapatagan,1709248,20,PH,88,7.9,295.828,1.18
110,Vairao,4033094,20,PF,66,-17.78,303.15,2.1
111,Gudiyatham,1270800,0,IN,73,12.95,285.803,0.78
112,Arkhaia Korinthos,264638,40,GR,71,37.92,285.15,2.1
113,Mapua,2187365,100,NZ,100,-41.25,287.778,1.03
114,Logan,5777544,90,US,55,41.74,276.38,2.1
115,Tamara,3667516,8,CO,65,5.83,297.928,1.93
116,Parthenay,2988447,0,FR,66,46.65,284.15,3.1
117,Midlothian,4902181,75,US,75,41.63,278.92,8.2
118,Chaykovskiy,569742,32,RU,74,56.77,257.178,3.28
119,Yumbel,3867625,0,CL,33,-37.08,300.39,4.1
120,Shawnee,4551177,1,US,33,35.33,287.87,6.2
121,Palmeirais,3393240,36,BR,97,-5.97,297.278,1.43
122,Orekhovo-Zuyevo,515024,0,RU,76,55.81,255.428,4.38
123,Chalette-sur-Loing,3027531,0,FR,59,48.01,274.15,9.8
124,Bahadurganj,1277836,0,IN,95,26.27,290.953,3.03
125,Takehara,1850860,75,JP,64,34.34,277.15,2.1
126,Taunton,2636177,90,GB,92,51.02,270.19,14.4
127,Issoire,3012664,20,FR,71,45.55,283.14,1.0
128,El Rancho,3610558,1,HN,24,14.68,305.15,2.1
129,Askino,580577,68,RU,87,56.09,260.103,3.48
130,Villers-la-Ville,2784642,75,BE,50,50.58,272.14,7.7
131,Midlands,934282,75,MU,83,-20.33,300.15,4.6
132,Vinstra,3131538,0,NO,42,61.67,246.703,0.63
133,Fosses,3017660,0,FR,59,49.1,274.15,8.2
134,Monteria,3674453,40,CO,44,8.75,308.15,2.6
135,San Jeronimo,3929611,92,PE,98,-11.95,279.478,1.08
136,La Guata,3607830,75,HN,51,15.08,303.15,2.1
137,Guadalupe Victoria,4005380,20,MX,27,24.45,295.15,3.1
138,San Antonio del Tachira,3628549,40,VE,54,7.82,302.15,4.6
139,Carlsbad,5460459,1,US,26,32.42,287.61,1.5
140,Gornyy Shchit,1506244,75,RU,85,56.67,262.15,6.0
141,Tijuana,3981609,1,MX,47,32.53,288.16,2.1
142,Vorotynets,471799,24,RU,44,56.06,247.328,1.23
143,Aglayan,1732050,64,PH,97,8.05,293.478,0.83
144,Barza,685318,76,RO,83,44.33,261.653,1.38
145,Sopur,1255714,88,IN,99,34.4,275.328,0.98
146,Axim,2303611,0,GH,97,4.87,300.903,5.58
147,Banqiao,1670029,75,TW,88,25.0,293.7,2.1
148,Voorhout,2745311,0,NL,49,52.22,270.18,10.3
149,Svetlograd,485698,90,RU,92,45.34,271.15,2.0
150,Neuenhagen,2865716,0,DE,61,52.53,264.66,5.7
151,Sāḩil Ţahţā,349852,0,EG,37,26.77,294.15,1.38
152,Nueva Fuerza,1697464,20,PH,88,9.85,298.15,2.6
153,Schonebeck,2836809,0,DE,68,52.02,263.178,5.63
154,Yatsuzawa,1848440,1,JP,44,35.62,280.11,3.43
155,Wanganui,2179670,92,NZ,88,-39.93,293.278,3.03
156,Vorob’yëvka,472113,92,RU,84,50.64,263.428,5.33
157,Ivry-sur-Seine,6452021,0,FR,59,48.82,274.15,6.7
158,Zyrya,584562,90,AZ,87,40.4,281.15,3.1
159,Haysville,4272788,1,US,18,37.56,285.35,7.2
160,Croydon,5186053,90,US,51,40.09,287.15,5.1
161,San Juan,1689341,8,PH,95,10.39,294.828,1.43
162,Casiguran,1718154,32,PH,100,12.87,297.803,2.63
163,Kirakira,2178753,68,SB,100,-10.45,300.703,5.68
164,Toboso,1681656,20,PH,88,10.71,298.15,2.6
165,Berehomet,712430,20,UA,79,48.18,251.903,1.08
166,Siogui Arriba,3700931,20,PA,52,8.53,305.15,4.6
167,Xenia,4528810,90,US,87,39.68,281.01,7.7
168,Dornoch,2651088,20,GB,73,57.87,271.58,5.1
169,Dingle,1714733,0,PH,90,11.0,296.978,3.43
170,Tampico,3516354,75,MX,74,22.3,299.15,10.3
171,Simiti,3668012,0,CO,39,7.96,307.953,1.53
172,Liezen,2772480,48,AT,67,47.57,266.15,3.6
173,Saharsa,1257804,0,IN,70,25.88,291.978,2.53
174,Pachalum,3591955,20,GT,47,14.92,298.15,6.2
175,Polovinnoye,1494523,56,RU,81,54.79,260.953,5.08
176,Sampit,1628884,88,ID,95,-2.53,295.553,1.23
177,Falticeni,678459,0,RO,77,47.45,259.15,0.78
178,Tuebingen,2820860,0,DE,58,48.53,269.15,4.1
179,Albina,3384792,68,SR,72,5.5,300.178,1.93
180,Goragorskiy,560325,92,RU,100,43.5,273.553,5.48
181,Pennsauken,4503548,90,US,58,39.96,286.69,3.6
182,Poienesti,670006,75,RO,72,46.62,262.08,3.6
183,Trenggalek,1623251,80,ID,99,-8.05,294.728,0.88
184,Bilao,1725297,100,PH,99,11.49,296.428,1.18
185,Aigle,2661834,0,CH,86,46.32,271.07,1.5
186,Sofiyivka,693325,0,UA,72,48.05,261.15,5.0
187,Ives Estates,4159896,40,US,45,25.96,301.81,4.1
188,Usvyaty,477774,92,RU,84,55.75,261.553,5.83
189,Mettuppalaiyam,1263104,0,IN,88,11.17,297.15,1.0
190,Alnashi,582423,12,RU,72,56.19,255.928,3.53
191,Manaskent,529608,90,RU,93,42.74,278.15,2.0
192,Talpa de Allende,3982589,5,MX,69,20.38,297.15,4.1
193,Corozal,3582305,40,BZ,62,18.38,302.15,7.2
194,Camandag,1719908,8,PH,95,10.33,294.828,1.43
195,Seram,1256814,0,IN,48,17.18,292.278,2.08
196,Zarubino,464468,0,RU,71,58.73,254.353,2.58
197,Santa Maria Petapa,3517220,0,MX,36,16.82,304.803,2.98
198,Blagodatnoye,712092,0,UA,89,47.7,264.153,4.13
199,Saa,2222366,20,CM,88,4.37,296.15,2.08
200,Kuzedeyevo,1501118,48,RU,61,53.33,257.528,4.63
201,Goose Creek,4580098,75,US,61,32.98,296.94,7.7
